destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
0,0,0,55,2,0,1,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,0,1,1
0,1,0,80,1,2,0,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,0,1,0
0,1,0,80,1,3,1,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,0,1,1
0,1,0,80,1,4,0,1,1,1,0,1,1,5,0,1,3,3,1,1,1,0,0,1,0
0,1,0,80,2,2,1,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,0,1,0
0,1,0,80,2,2,0,1,1,1,0,1,1,5,0,1,3,3,1,1,1,0,0,1,0
0,1,0,80,2,2,1,1,1,1,0,1,1,5,0,1,3,3,1,1,1,0,0,1,0
0,1,0,80,2,0,1,1,1,1,0,1,1,5,0,1,3,3,1,1,1,0,0,1,1
0,1,0,80,3,2,0,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,0,1,0
0,1,0,80,3,0,0,1,1,1,0,1,1,5,0,1,3,3,1,1,1,0,0,1,1
0,1,0,55,2,2,0,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,0,1,0
0,1,0,55,2,4,1,1,1,1,0,1,1,5,0,1,3,3,1,1,1,0,0,1,1
0,0,0,55,1,2,0,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,0,1,0
1,0,0,55,3,3,1,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,1,0,1
1,0,0,55,3,1,1,1,1,1,0,1,1,5,0,1,3,3,1,1,1,0,0,1,0
1,0,0,80,3,2,0,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,0,1,0
2,0,0,55,0,2,0,1,1,1,0,1,1,5,0,1,3,3,1,1,1,1,0,1,0
2,0,0,55,0,3,1,1,1,1,0,1,1,5,0,1,3,3,1,1,1,1,0,1,1
2,0,0,80,0,1,1,1,1,1,0,1,1,5,0,1,3,3,1,1,1,0,0,1,0
2,0,0,80,0,4,0,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,1,0,1
2,0,0,55,0,0,1,1,1,1,0,1,1,5,0,1,3,3,1,1,0,0,0,1,1
2,0,0,55,0,2,0,1,1,1,0,1,1,5,0,1,3,3,1,1,1,0,0,1,0
0,0,0,55,2,0,1,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,0,1,1
0,1,0,80,1,2,0,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,0,1,1
0,1,0,80,1,3,1,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,0,1,0
0,1,0,80,1,4,0,1,6,1,0,0,2,1,0,3,2,2,0,1,1,0,0,1,1
0,1,0,80,2,2,1,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,0,1,1
0,1,0,80,2,2,0,1,6,1,0,0,2,1,0,3,2,2,0,1,1,0,0,1,1
0,1,0,80,2,2,1,1,6,1,0,0,2,1,0,3,2,2,0,1,1,0,0,1,0
0,1,0,80,2,0,1,1,6,1,0,0,2,1,0,3,2,2,0,1,1,0,0,1,1
0,1,0,80,3,2,0,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,0,1,0
0,1,0,80,3,0,0,1,6,1,0,0,2,1,0,3,2,2,0,1,1,0,0,1,1
0,1,0,55,2,2,0,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,0,1,1
0,1,0,55,2,4,1,1,6,1,0,0,2,1,0,3,2,2,0,1,1,0,0,1,1
0,0,0,55,1,2,0,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,0,1,1
1,0,0,55,3,3,1,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,1,0,0
1,0,0,55,3,1,1,1,6,1,0,0,2,1,0,3,2,2,0,1,1,0,0,1,0
1,0,0,80,3,2,0,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,0,1,0
2,0,0,55,0,2,0,1,6,1,0,0,2,1,0,3,2,2,0,1,1,1,0,1,0
2,0,0,55,0,3,1,1,6,1,0,0,2,1,0,3,2,2,0,1,1,1,0,1,0
2,0,0,80,0,1,1,1,6,1,0,0,2,1,0,3,2,2,0,1,1,0,0,1,0
2,0,0,80,0,4,0,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,1,0,1
2,0,0,55,0,0,1,1,6,1,0,0,2,1,0,3,2,2,0,1,0,0,0,1,0
2,0,0,55,0,2,0,1,6,1,0,0,2,1,0,3,2,2,0,1,1,0,0,1,0
0,0,0,55,2,0,1,1,6,2,1,1,3,6,1,2,2,2,1,1,0,0,0,1,1
0,1,0,80,1,2,0,1,6,2,1,1,3,6,1,2,2,2,1,1,0,0,0,1,1
0,1,0,80,1,4,0,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
0,1,0,80,2,2,0,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
0,1,0,80,2,2,1,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
0,1,0,80,3,0,0,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
0,1,0,55,2,4,1,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
0,2,0,80,1,0,0,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
0,2,0,80,1,4,0,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
0,2,0,80,1,3,1,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
0,2,0,80,2,0,1,1,6,2,1,1,3,6,1,2,2,2,1,1,0,0,0,1,1
0,2,0,55,2,0,1,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
0,2,0,55,3,2,0,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,0
1,0,0,55,3,3,1,1,6,2,1,1,3,6,1,2,2,2,1,1,0,0,1,0,1
1,0,0,55,3,1,1,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,0
1,0,0,80,3,2,0,1,6,2,1,1,3,6,1,2,2,2,1,1,0,0,0,1,1
2,0,0,55,0,2,0,1,6,2,1,1,3,6,1,2,2,2,1,1,1,1,0,1,0
2,0,0,55,0,3,1,1,6,2,1,1,3,6,1,2,2,2,1,1,1,1,0,1,1
2,0,0,80,0,1,1,1,6,2,1,1,3,6,1,2,2,2,1,1,1,0,0,1,1
2,0,0,80,0,4,0,1,6,2,1,1,3,6,1,2,2,2,1,1,0,0,1,0,0
2,0,0,55,0,0,1,1,6,2,1,1,3,6,1,2,2,2,1,1,0,0,0,1,1
